,Original_Time_Subtask1_seconds,Original_Errors_Subtask1_count,Original_Time_Subtask2_seconds,Original_Errors_Subtask2_count,Original_Time_Subtask3_seconds,Original_Errors_Subtask3_count,Original_SUS_1,Original_SUS_2,Original_SUS_3,Original_SUS_4,Original_SUS_5,Original_SUS_6,Original_SUS_7,Original_SUS_8,Original_SUS_9,Original_SUS_10,Original_SUS_Score,Adaptive_SUS_Score,Original_TLX_Overall,Adaptive_TLX_Overall
count,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
mean,51.7,0.04,61.0,0.41,45.0,0.49,2.2,3.84,2.95,3.6,2.17,3.59,2.97,3.84,2.7,3.82,35.75,87.2,14.9842176508468,9.033448302464345
std,17.569774321173554,0.28141058827257937,13.180947376322148,0.5522223238420327,7.351217861035275,0.5221362491019585,1.0824588545146516,1.1256423530903177,1.2091820425896227,1.1191627462193567,1.054619467970425,1.2316942425255983,1.2181705110284824,1.1256423530903177,1.1934162828797101,1.1135528725660044,5.359547319946665,10.999770429193033,0.7215618383901788,0.7692187233490378
min,25.0,0.0,20.0,0.0,15.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,27.5,62.5,13.073397659177013,7.260582895305638
25%,45.0,0.0,60.0,0.0,40.0,0.0,1.0,3.0,2.0,3.0,1.0,3.0,2.0,3.0,2.0,3.0,32.5,75.0,14.474353154959438,8.471127977353955
50%,45.0,0.0,60.0,0.0,40.0,0.0,2.0,4.0,3.0,4.0,2.0,4.0,3.0,4.0,3.0,4.0,35.0,87.5,14.971038913210464,8.937259435681113
75%,45.0,0.0,60.0,1.0,50.0,1.0,3.0,5.0,4.0,4.0,3.0,5.0,4.0,5.0,4.0,5.0,37.5,100.0,15.512172469449014,9.561857169283545
max,120.0,2.0,120.0,3.0,75.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,50.0,100.0,16.510885980924716,11.031049286933852
